
| Time |: 2025-06-04 07:47:07.284304674	| IP |: 124.56.13.190	| SessionID |: CE3EDF95E5AC67C0AAB549D8DD8BC80F	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://www.kangwon.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:37:50.498419051	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.snu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:39:30.588137097	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.snu.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.snu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:40:20.350546167	| IP |: 117.16.45.123	| SessionID |: FA06868063A2187A5580BBCACDADC451	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.ut.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:41:09.051916266	| IP |: 117.16.45.123	| SessionID |: FA06868063A2187A5580BBCACDADC451	| URI |: /WebServer/ServerTimeLegacy/search/searchSection.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.ut.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: [한국공학대학교] 를 검색했습니다.
| Time |: 2025-06-10 03:41:10.794169887	| IP |: 117.16.45.123	| SessionID |: FA06868063A2187A5580BBCACDADC451	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.ut.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://www.tukorea.ac.kr 을 조회했습니다.
| Time |: 2025-06-10 03:41:20.444281633	| IP |: 117.16.45.123	| SessionID |: FA06868063A2187A5580BBCACDADC451	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://www.tukorea.ac.kr	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.snu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:41:53.485365199	| IP |: 117.16.45.130	| SessionID |: 53F9FC2E69CBD9D136655D27376B4926	| URI |: /WebServer/ServerTimeLegacy/search/searchSection.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0	| Message |: [국민대학교] 를 검색했습니다.
| Time |: 2025-06-10 03:42:05.103871285	| IP |: 117.16.45.130	| SessionID |: 53F9FC2E69CBD9D136655D27376B4926	| URI |: /WebServer/ServerTimeLegacy/search/searchSection.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0	| Message |: [대학교] 를 검색했습니다.
| Time |: 2025-06-10 03:44:40.685454309	| IP |: 203.237.172.113	| SessionID |: DDA9C24088B68FBB852B91CE9EC3DFB4	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://www.kbsc.ac.kr 을 조회했습니다.
| Time |: 2025-06-10 03:44:44.955730418	| IP |: 203.237.172.113	| SessionID |: DDA9C24088B68FBB852B91CE9EC3DFB4	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://www.kbsc.ac.kr	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.snu.ac.kr/ 을 조회했습니다.
